Sample,Host
SRX2995989,1
SRX4901490,1
SRX2995990,1
SRX4901492,1
SRX2995987,1
SRX4901493,1
SRX4901494,1
SRX4901495,1
SRX2995988,1
SRX2995993,1
SRX4901496,1
SRX2995994,1
SRX4901497,1
SRX2995991,1
SRX4901486,1
SRX4901487,1
SRX4901516,1
SRX2995992,0
SRX2995995,1
SRX4901517,1
SRX4901514,1
SRX4901515,1
SRX4901520,1
SRX2995996,1
SRX2995997,1
SRX4901521,1
SRX4901518,1
SRX2995998,1
SRX2995999,1
SRX2996000,1
SRX4901519,1
SRX4901524,1
SRX2996001,0
SRX4901525,1
SRX4901551,1
SRX2996002,1
SRX4901550,1
SRX2996003,1
SRX2996004,1
SRX2996005,1
SRX2996006,1
SRX2995969,1
SRX2995968,1
SRX2995970,0
SRX2995973,1
SRX2995972,1
SRX4901549,1
SRX4901548,1
SRX2995975,1
SRX2995974,1
SRX2995966,1
SRX4901547,1
SRX2995965,1
SRX2996007,1
SRX2996008,1
SRX2996013,1
SRX4901545,1
SRX4901544,1
SRX4901543,1
SRX2996014,1
SRX2996011,1
SRX4901542,1
SRX2996012,1
SRX2996009,0
SRX4901506,1
SRX4901507,1
SRX4901508,1
SRX2996010,1
SRX2995986,1
SRX2995967,1
SRX2995979,1
SRX2995978,1
SRX2995977,1
SRX2995976,1
SRX2995983,1
SRX4901509,1
SRX4901510,1
SRX4901511,1
SRX4901512,1
SRX4901513,1
SRX2995981,1
SRX4901502,1
SRX2995980,1
SRX4901503,1
SRX4901483,1
SRX4901482,1
SRX4901485,1
SRX4901484,1
SRX4901479,1
SRX4901478,1
SRX4901481,1
SRX4901480,1
SRX4901475,1
SRX4901474,1
SRX4901528,1
SRX4901529,1
SRX4901526,1
SRX4901527,1
SRX4901530,1
SRX4901533,1
SRX4901522,1
SRX4901523,1
SRX4901498,1
SRX4901500,1
SRX2995985,1
SRX4901539,1
SRX4901538,1
SRX4901505,1
SRX4901488,1
SRX4901534,1
SRX4901532,1
SRX4901499,1
SRX4901504,1
SRX4901473,1
SRX4901472,1
SRX4901501,1
SRX4901540,1
SRX4901536,1
SRX2995984,1
SRX4901476,1
SRX4901471,1
SRX2995962,1
SRX4901477,1
SRX4901541,1
SRX2995963,1
SRX4901489,1
SRX2995964,1
SRX4901531,1
SRX4901535,1
SRX4901537,1
SRX2526901,1
SRX2526903,1
SRX2526907,1
SRX2526909,1
SRX2526912,1
SRX2526914,1
SRX2526917,1
SRX2526919,1
SRX2526920,1
SRX2526923,1
SRX2526924,1
SRX2526928,1
SRX2526930,1
SRX2526932,1
SRX2526933,1
SRX2526934,0
SRX2526935,1
SRX2526936,1
SRX2526939,1
SRX2526940,1
SRX2526941,0
SRX2526943,1
SRX2526945,1
SRX2526946,1
SRX2526950,1
SRX2526952,1
SRX2526954,1
SRX2526956,1
SRX2526958,1
SRX2526960,1
SRX2526963,1
SRX2526966,1
SRX2526967,1
SRX2526969,1
SRX2526971,0
SRX2526972,1
SRX2526973,1
SRX2526974,1
SRX2526976,1
SRX2526977,0
SRX2526983,1
SRX2526988,1
SRX2526989,1
SRX2526991,1
SRX2526992,1
SRX2526994,1
SRX2526996,1
SRX2526997,1
SRX2526999,1
SRX2527000,1
SRX2527001,1
SRX2527004,1
SRX2527005,1
SRX2527008,1
SRX2527010,1
SRX2527013,1
SRX2527014,1
SRX2527015,1
SRX2527017,1
SRX2527020,1
SRX2527021,0
SRX2527022,1
SRX2527024,0
SRX2527027,0
SRX2527028,1
SRX2527030,0
SRX2527032,1
SRX2527034,0
SRX2527042,1
SRX2527045,1
SRX2527046,0
SRX2527047,1
SRX2527049,1
SRX2527050,1
SRX2527052,0
SRX2527053,1
SRX2527055,1
SRX2527058,1
SRX2527060,1
SRX2527062,1
SRX2527063,1
SRX2527066,1
SRX2527068,1
SRX2527070,1
SRX2527072,1
SRX2527074,1
SRX2527076,1
SRX2527080,1
SRX2527081,1
SRX2527083,1
SRX2527085,0
SRX2527087,1
SRX2527089,1
SRX2527091,1
SRX2527093,1
SRX2527095,1
SRX2527097,1
SRX2527099,1
SRX2527100,1
SRX2527102,1
SRX2527105,1
SRX2527107,1
SRX2527109,0
SRX2527110,1
SRX2527112,1
SRX2527114,0
SRX2527118,0
SRX2527119,0
SRX2527121,1
SRX2527126,1
SRX2527128,1
SRX2527130,0
SRX2527132,1
SRX2527134,1
SRX2527135,1
SRX2527136,1
SRX2527141,1
SRX2527144,1
SRX2527145,1
SRX2527146,1
SRX2527149,1
SRX2527152,1
SRX2527154,1
SRX2527155,1
SRX2527161,1
SRX2527163,1
SRX2527164,0
SRX2527165,1
SRX2527166,1
SRX2527169,0
SRX2527171,1
SRX2527174,1
SRX2527176,1
SRX2527177,1
SRX2527178,1
SRX2527180,1
SRX2527181,0
SRX2527183,1
SRX2527186,1
SRX2527189,1
SRX2527191,1
SRX2527195,1
SRX2526900,1
SRX2526902,1
SRX2526904,1
SRX2526905,1
SRX2526906,1
SRX2526908,1
SRX2526910,0
SRX2526911,1
SRX2526913,1
SRX2526915,0
SRX2526916,1
SRX2526918,1
SRX2526921,1
SRX2526922,1
SRX2526925,0
SRX2526926,0
SRX2526927,1
SRX2526929,1
SRX2526931,0
SRX2526937,1
SRX2526938,1
SRX2526942,1
SRX2526944,1
SRX2526947,1
SRX2526948,1
SRX2526949,0
SRX2526951,1
SRX2526953,1
SRX2526955,1
SRX2526957,0
SRX2526959,0
SRX2526961,1
SRX2526962,0
SRX2526964,1
SRX2526965,1
SRX2526968,1
SRX2526970,1
SRX2526975,0
SRX2526978,1
SRX2526980,1
SRX2526981,0
SRX2526982,1
SRX2526984,1
SRX2526985,1
SRX2526986,1
SRX2526987,1
SRX2526990,1
SRX2526993,0
SRX2526995,1
SRX2526998,1
SRX2527002,1
SRX2527003,0
SRX2527006,0
SRX2527007,0
SRX2527009,1
SRX2527011,1
SRX2527012,0
SRX2527016,0
SRX2527018,1
SRX2527019,1
SRX2527023,1
SRX2527025,1
SRX2527026,1
SRX2527029,1
SRX2527031,1
SRX2527033,1
SRX2527035,1
SRX2527036,1
SRX2527037,0
SRX2527038,1
SRX2527039,1
SRX2527040,1
SRX2527041,1
SRX2527043,1
SRX2527044,1
SRX2527048,1
SRX2527051,1
SRX2527054,1
SRX2527056,1
SRX2527057,1
SRX2527059,1
SRX2527061,1
SRX2527064,1
SRX2527065,1
SRX2527067,1
SRX2527069,1
SRX2527071,0
SRX2527073,1
SRX2527075,1
SRX2527077,0
SRX2527078,1
SRX2527079,1
SRX2527082,1
SRX2527084,1
SRX2527086,1
SRX2527088,0
SRX2527090,1
SRX2527092,0
SRX2527094,1
SRX2527096,0
SRX2527098,1
SRX2527101,1
SRX2527103,1
SRX2527104,1
SRX2527106,1
SRX2527108,1
SRX2527111,1
SRX2527113,1
SRX2527115,1
SRX2527116,0
SRX2527120,1
SRX2527122,1
SRX2527123,1
SRX2527124,1
SRX2527125,1
SRX2527127,1
SRX2527129,1
SRX2527133,1
SRX2527137,1
SRX2527138,1
SRX2527139,1
SRX2527140,1
SRX2527142,1
SRX2527143,1
SRX2527147,1
SRX2527148,1
SRX2527150,1
SRX2527151,1
SRX2527153,1
SRX2527156,0
SRX2527157,1
SRX2527158,1
SRX2527159,1
SRX2527160,1
SRX2527162,1
SRX2527167,0
SRX2527168,0
SRX2527170,1
SRX2527172,1
SRX2527173,1
SRX2527175,0
SRX2527179,1
SRX2527182,1
SRX2527184,1
SRX2527185,1
SRX2527187,1
SRX2527188,0
SRX2527190,1
SRX2527192,1
SRX2527193,0
SRX2527194,1
SRX5400334,1
SRX5400333,1
SRX5400332,1
SRX5400331,1
SRX5400330,1
SRX5400329,1
SRX5400328,1
SRX5400327,1
SRX5400325,1
SRX5400324,1
SRX5400317,1
SRX5400316,1
SRX5400315,1
SRX5400314,1
SRX5400313,1
SRX5400312,1
SRX5400311,1
SRX5400310,1
SRX5400309,1
SRX5400308,1
SRX5400307,1
SRX5400306,1
SRX5400305,1
SRX5400304,1
SRX5400303,1
SRX5400301,1
SRX5400300,1
SRX5400299,1
SRX5400297,1
SRX5400296,1
SRX5400291,1
SRX5400290,1
SRX5400289,1
SRX5400288,1
SRX5400287,1
SRX5400286,1
SRX5400283,1
SRX5400281,1
SRX5400280,1
SRX5400278,1
SRX5400277,1
SRX5400276,1
SRX5400275,1
SRX5400272,1
SRX5400271,1
SRX5400270,1
SRX5400269,1
SRX5400268,1
SRX5400267,1
SRX5400266,1
SRX5400265,1
SRX5400264,1
SRX5400263,1
SRX5400262,1
SRX5400261,1
SRX5400260,1
SRX5400259,1
SRX5400258,1
SRX5400257,1
SRX5400255,1
SRX5400253,1
SRX5400252,1
SRX5400251,1
SRX5400250,1
SRX5400249,1
SRX5400248,1
SRX5400247,1
SRX5400246,1
SRX5400245,1
SRX5400244,1
SRX5400243,1
SRX5400242,1
SRX5400241,1
SRX5400240,1
SRX5400239,1
SRX5400238,1
SRX5400237,1
SRX5400236,1
SRX5400235,1
SRX5400234,1
SRX5400233,1
SRX5400232,1
SRX5400230,1
SRX5400229,1
SRX5400228,1
SRX5400227,1
SRX5400225,1
SRX5400224,1
SRX5400223,1
SRX5400222,1
SRX5400221,1
SRX5400220,1
SRX5400219,1
SRX5400218,1
SRX5400217,1
SRX5400216,1
SRX5400215,1
SRX5400213,1
SRX5400212,1
SRX5400211,1
SRX5400210,1
SRX5400209,1
SRX5400207,1
SRX5400206,1
SRX5400204,1
SRX5400202,1
SRX5400201,1
SRX5400199,1
SRX5400197,1
SRX5400196,1
SRX5400194,1
SRX5400193,1
SRX5400192,1
SRX5400191,1
SRX5400190,1
SRX5400189,1
SRX5400188,1
SRX5400187,1
SRX5400186,1
SRX5400185,1
SRX5400184,1
SRX5400183,1
SRX5400182,1
SRX5400181,1
SRX5400180,1
SRX5400179,1
SRX5400178,1
SRX5400177,1
SRX5400176,1
SRX5400175,1
SRX5400174,1
SRX5400172,1
SRX5400171,1
SRX5400170,1
SRX5400169,1
SRX5400167,1
SRX5400162,1
SRX5400161,1
SRX5400160,1
SRX5400159,1
SRX5400158,1
SRX5400157,1
SRX5400156,1
SRX5400155,1
SRX5400154,1
SRX5400153,1
SRX5400147,1
SRX5400146,1
SRX5400145,1
SRX5400142,1
SRX5400141,1
SRX5400140,1
SRX5400139,1
SRX5400138,1
SRX5400137,1
SRX5400136,1
SRX5400135,1
SRX5400134,1
SRX5400133,1
SRX5400131,1
SRX5400130,1
SRX5400129,1
SRX5400128,1
SRX5400126,1
SRX5400125,1
SRX5400124,1
SRX5400123,1
SRX5400122,1
SRX5400121,1
SRX5400120,1
SRX5400119,1
SRX5400115,1
SRX5400114,1
SRX5400113,1
SRX5400112,1
SRX5400111,1
SRX5400109,1
SRX5400107,1
SRX5400106,1
SRX5400105,1
SRX5400104,1
SRX5400102,1
SRX5400101,1
SRX5400100,1
SRX5400099,1
SRX5400098,1
SRX5400097,1
SRX5400096,1
SRX5400095,1
SRX5400094,1
SRX5400093,1
SRX5400092,1
SRX5400091,1
SRX5400090,1
SRX5400089,1
SRX5400087,1
SRX5400084,1
SRX5400083,1
SRX5400082,1
SRX5400080,1
SRX5400079,1
SRX5400078,1
SRX5400077,1
SRX5400075,1
SRX5400072,1
SRX5400071,1
SRX5400070,1
SRX5400069,1
SRX5400068,1
SRX5400063,1
SRX5400059,1
SRX5400057,1
SRX5400056,1
SRX5400055,1
SRX5400054,1
SRX5400053,1
SRX5400052,1
SRX5400051,1
SRX5400050,1
SRX5400048,1
SRX5400047,1
SRX5400046,1
SRX5400045,1
SRX5400044,1
SRX5400043,1
SRX5400042,1
SRX5400041,1
SRX5400040,1
SRX5400039,1
SRX5400038,1
SRX5400036,1
SRX5400034,1
SRX5400033,1
SRX5400032,1
SRX5400031,1
SRX5400030,1
SRX5400029,1
SRX5400028,1
SRX5400025,1
SRX5400024,1
SRX5400023,1
SRX5400022,1
SRX5400021,1
SRX5400020,1
SRX5400019,1
SRX5400018,1
SRX5400017,1
SRX5400016,1
SRX5400015,1
SRX5400014,1
SRX5400013,1
SRX5400012,1
SRX5400011,1
SRX5400010,1
SRX5400009,1
SRX5400008,1
SRX5400007,1
SRX5400006,1
SRX5400004,1
SRX5400003,1
SRX5400002,1
SRX5400001,1
SRX5400000,1
SRX5399999,1
SRX5400350,1
SRX5400349,1
SRX5400348,1
SRX5400347,1
SRX5400346,1
SRX5400345,1
SRX5400344,1
SRX5400343,1
SRX5400342,1
SRX5400341,1
SRX5400340,1
SRX5400339,1
SRX5400335,1
